player,Total_Balls,Risk_Score,Risk_Level
Abhishek Sharma,278,2.78,Low
Anuj Rawat,276,2.76,Low
KR Mayers,276,2.76,Low
TM Dilshan,275,2.75,Low
DJ Mitchell,274,2.74,Low
Joginder Sharma,272,2.72,Low
Shashank Singh,272,2.72,Low
VVS Laxman,271,2.71,Low
Y Nagar,271,2.71,Low
A Ashish Reddy,270,2.7,Low
AG Murtaza,269,2.69,Low
LS Livingstone,267,2.67,Low
DB Das,267,2.67,Low
CR Brathwaite,266,2.66,Low
Sohail Tanvir,265,2.65,Low
V Kohli,264,2.64,Low
Suyash Sharma,264,2.64,Low
S Badree,263,2.63,Low
N Wadhera,261,2.61,Low
M Kaif,258,2.58,Low
V Shankar,258,2.58,Low
B Chipli,256,2.56,Low
AA Chavan,255,2.55,Low
KR Sen,255,2.55,Low
R Powell,254,2.54,Low
TK Curran,252,2.52,Low
DJG Sammy,251,2.51,Low
LA Pomersbach,251,2.51,Low
CRD Fernando,249,2.49,Low
BAW Mendis,248,2.48,Low
PK Garg,247,2.47,Low
JDP Oram,244,2.44,Low
DJG Sammy,244,2.44,Low
Abishek Porel,244,2.44,Low
Vijaykumar Vyshak,243,2.43,Low
JD Ryder,241,2.41,Low
K Kartikeya,241,2.41,Low
T Stubbs,239,2.39,Low
K Goel,239,2.39,Low
AM Nayar,239,2.39,Low
BJ Hodge,238,2.38,Low
RN ten Doeschate,238,2.38,Low
Dhruv Jurel,237,2.37,Low
J Little,236,2.36,Low
R Sathish,236,2.36,Low
J Theron,235,2.35,Low
A Chandila,234,2.34,Low
C de Grandhomme,230,2.3,Low
C de Grandhomme,229,2.29,Low
SN Thakur,228,2.28,Low
Rahmanullah Gurbaz,228,2.28,Low
KC Cariappa,224,2.24,Low
Kuldeep Yadav,224,2.24,Low
JL Pattinson,222,2.22,Low
SB Styris,222,2.22,Low
JDS Neesham,222,2.22,Low
Y Venugopal Rao,222,2.22,Low
KP Appanna,222,2.22,Low
YA Abdulla,222,2.22,Low
DJ Willey,221,2.21,Low
Nithish Kumar Reddy,221,2.21,Low
S Tyagi,220,2.2,Low
SK Warne,219,2.19,Low
MN Samuels,219,2.19,Low
AA Jhunjhunwala,218,2.18,Low
TS Mills,218,2.18,Low
AF Milne,217,2.17,Low
JO Holder,217,2.17,Low
G Coetzee,216,2.16,Low
HV Patel,214,2.14,Low
M Ntini,213,2.13,Low
Karanveer Singh,213,2.13,Low
RS Bopara,213,2.13,Low
HR Shokeen,213,2.13,Low
MD Mishra,213,2.13,Low
VS Malik,212,2.12,Low
S Lamichhane,211,2.11,Low
UT Yadav,211,2.11,Low
V Pratap Singh,211,2.11,Low
S Kaushik,210,2.1,Low
K Rabada,207,2.07,Low
Rasikh Salam,207,2.07,Low
PBB Rajapaksa,201,2.01,Low
Harpreet Brar,201,2.01,Low
Parvez Rasool,200,2.0,Low
