player,Total_Balls
SM Pollock,280
SMSM Senanayake,195
SN Khan,2
SN Thakur,1979
SP Narine,4146
SPD Smith,2
SR Tendulkar,37
SR Watson,2137
SS Agarwal,24
SS Cottrell,131
SS Iyer,6
SS Mundhe,7
SS Sarkar,25
SSB Magala,37
ST Jayasuriya,301
STR Binny,611
SW Tait,534
SZ Mulani,33
Sachin Baby,10
Sandeep Sharma,2925
Shahbaz Ahmed,549
Shahid Afridi,185
Shakib Al Hasan,1515
Shashank Singh,19
Shivam Mavi,687
Shivam Sharma,114
Shoaib Ahmed,103
Shoaib Akhtar,46
Shoaib Malik,58
Sikandar Raza,88
Simarjeet Singh,193
Sohail Tanvir,265
Sumit Kumar,22
Sunny Gupta,19
Suyash Sharma,264
Swapnil Singh,165
T Henderson,36
T Natarajan,1401
T Shamsi,120
T Stubbs,25
T Thushara,144
TA Boult,2428
TG Southee,1262
TK Curran,252
TL Suman,152
TM Dilshan,275
TM Head,58
TP Sudhindra,74
TS Mills,218
TU Deshpande,831
Tejas Baroka,21
Tilak Varma,23
UT Yadav,3190
Umar Gul,153
Umran Malik,519
V Kaverappa,24
V Kohli,264
V Pratap Singh,211
V Sehwag,138
V Shankar,258
V Viyaskanth,60
VG Arora,418
VR Aaron,1065
VR Iyer,84
VRV Singh,371
VS Malik,212
VS Yeligati,32
VY Mahesh,359
Vijaykumar Vyshak,243
Vivrant Sharma,21
WA Mota,75
WD Parnell,758
WG Jacks,55
WPUJC Vaas,288
Washington Sundar,1064
Y Gnaneswara Rao,6
Y Nagar,72
Y Prithvi Raj,33
Y Venugopal Rao,222
YA Abdulla,222
YBK Jaiswal,1
YK Pathan,1184
YS Chahal,3628
Yash Dayal,615
Yash Thakur,432
Yudhvir Singh,74
Yuvraj Singh,882
Z Khan,2276
A Ashish Reddy,196
A Badoni,505
A Chandila,7
A Chopra,75
A Choudhary,20
A Dananjaya,5
A Flintoff,57
A Kamboj,2
A Kumble,49
A Manohar,181
A Mishra,440
A Mithun,26
A Mukund,23
A Nehra,63
A Nortje,51
A Raghuvanshi,109
A Singh,10
A Symonds,781
A Tomar,8
A Uniyal,7
A Zampa,25
AA Bilakhia,88
AA Chavan,11
AA Jhunjhunwala,218
AA Kulkarni,8
AA Noffke,12
AB Agarkar,160
AB Barath,43
AB Dinda,50
AB McDonald,103
AB de Villiers,3487
AC Blizzard,91
AC Gilchrist,1555
AC Thomas,19
AC Voges,143
AD Hales,119
AD Mascarenhas,79
AD Mathews,599
AD Nath,99
AD Russell,1515
AF Milne,31
AG Murtaza,14
AG Paunikar,61
AJ Finch,1696
AJ Hosein,11
AJ Turner,31
AJ Tye,79
AK Markram,787
AL Menaria,367
AM Nayar,588
AM Rahane,3858
AN Ahmed,27
AN Ghosh,8
AP Dole,23
AP Majumdar,77
AP Tare,285
AR Bawne,12
AR Patel,1318
AS Joseph,32
AS Rajpoot,41
AS Raut,172
AS Roy,24
AS Yadav,40
AT Carey,29
AT Rayudu,3490
AU Rashid,17
AUK Pathan,26
Abdul Basith,1
Abdul Samad,408
Abdur Razzak,2
Abhishek Sharma,925
Abishek Porel,244
Akash Deep,12
Akash Madhwal,5
Aman Hakim Khan,109
Anirudh Singh,69
Ankit Sharma,69
Ankit Soni,9
Anmolpreet Singh,117
Anuj Rawat,276
Anureet Singh,47
Arjun Tendulkar,9
Arshad Khan,67
Arshad Khan (2),4
Arshdeep Singh,42
Ashutosh Sharma,118
Atharva Taide,177
Avesh Khan,25
Azhar Mahmood,311
Azmatullah Omarzai,34
B Akhil,57
B Chipli,256
B Indrajith,31
B Kumar,338
B Laughlin,13
B Lee,102
B Sai Sudharsan,770
B Stanlake,2
B Sumanth,38
BA Bhatt,7
BA Stokes,718
BAW Mendis,6
BB McCullum,2272
BB Samantray,116
BB Sran,14
BCJ Cutting,146
BE Hendricks,3
BJ Haddin,11
BJ Hodge,1153
BJ Rohrer,146
BMAJ Mendis,27
BR Dunk,36
BR Sharath,5
Basil Thampi,37
Bipul Sharma,124
C Green,472
C Madan,21
C Munro,144
C Nanda,1
C Sakariya,31
C de Grandhomme,229
CA Ingram,183
CA Lynn,974
CA Pujara,403
CH Gayle,3516
CH Morris,413
CJ Anderson,436
CJ Ferguson,119
CJ Jordan,81
CJ McKay,15
CK Kapugedera,24
CK Langeveldt,9
CL White,774
CM Gautam,158
CR Brathwaite,120
CR Woakes,77
CRD Fernando,3
CV Varun,49
D Brevis,176
D Ferreira,11
D Kalyankrishna,8
D Padikkal,1323
D Pretorius,28
D Salunkhe,24
D Wiese,105
D du Preez,13
DA Miller,2171
DA Warner,4849
DAJ Bracewell,9
DB Das,267
DB Ravi Teja,325
DE Bollinger,23
DG Nalkande,12
DH Yagnik,142
DJ Bravo,1247
DJ Harris,103
DJ Hooda,1170
DJ Hussey,1101
DJ Jacobs,101
DJ Malan,26
DJ Mitchell,274
DJ Muthuswami,3
DJ Thornely,54
DJ Willey,64
DJG Sammy,251
DJM Short,102
DL Chahar,61
DL Vettori,118
DM Bravo,5
DNT Zoysa,9
DP Conway,669
DP Nannes,13
DP Vijaykumar,1
DPMD Jayawardene,1522
DR Martyn,26
DR Sams,48
DR Shorey,20
DR Smith,1803
DS Kulkarni,113
DS Lehmann,19
DT Christian,408
DT Patil,13
DW Steyn,163
Dhruv Jurel,237
E Lewis,499
EJG Morgan,1181
ER Dwivedi,15
F Behardien,13
F du Plessis,3435
FA Allen,19
FH Edwards,5
FY Fazal,179
Fazalhaq Farooqi,13
G Coetzee,22
G Gambhir,3524
GB Hogg,22
GC Smith,691
GC Viljoen,7
GD McGrath,5
GD Phillips,55
GH Vihari,331
GHS Garton,4
GJ Bailey,552
GJ Maxwell,1842
GR Napier,16
Gulbadin Naib,15
Gurkeerat Singh,436
H Das,5
H Klaasen,613
HC Brook,159
HE van der Dussen,25
HF Gurney,5
HH Gibbs,837
HH Pandya,1814
HM Amla,418
HR Shokeen,67
HV Patel,214
Harbhajan Singh,636
Harmeet Singh,12
Harpreet Brar,201
Harpreet Singh,119
Harshit Rana,3
I Malhotra,4
I Sharma,71
I Udana,11
IC Pandey,2
IK Pathan,985
IR Jaggi,100
IS Sodhi,18
Imran Tahir,37
Iqbal Abdulla,86
Ishan Kishan,1991
J Arunkumar,24
J Botha,364
J Fraser-McGurk,150
J Suchith,62
J Syed Mohammad,27
J Theron,13
J Yadav,38
JA Morkel,712
JA Richardson,27
JC Archer,132
JC Buttler,2519
JD Ryder,466
JD Unadkat,170
JDP Oram,110
JDS Neesham,93
JE Root,15
JE Taylor,4
JEC Franklin,309
JH Kallis,2291
JJ Bumrah,80
JJ Roy,460
JJ van der Wath,17
JL Denly,1
JL Pattinson,13
JM Bairstow,1132
JM Kemp,25
JM Sharma,501
JO Holder,217
JP Behrendorff,9
JP Duminy,1680
JP Faulkner,406
JPR Scantlebury-Searles,6
JR Hazlewood,29
JR Hopes,314
JR Philippe,80
Jaskaran Singh,11
Joginder Sharma,30
K Goel,239
K Gowtham,159
K Kartikeya,13
K Rabada,207
K Upadhyay,9
K Yadav,4
KA Jamieson,55
KA Maharaj,2
KA Pollard,2447
KAJ Roach,9
KB Arun Karthik,53
KC Cariappa,21
KC Sangakkara,1424
KD Karthik,3687
KH Pandya,1287
KJ Abbott,8
KK Ahmed,7
KK Cooper,70
KK Nair,1192
KL Nagarkoti,34
KL Rahul,3578
KM Asif,2
KM Jadhav,1012
KMA Paul,26
KMDN Kulasekara,3
KP Appanna,4
KP Pietersen,758
KR Mayers,276
KR Sen,3
KS Bharat,168
KS Sharma,25
KS Williamson,1734
KV Sharma,306
KW Richardson,39
Kamran Akmal,78
Kamran Khan,5
Karanveer Singh,17
Kartik Tyagi,16
Kuldeep Yadav,224
Kumar Kushagra,7
L Ablish,2
L Balaji,50
L Ronchi,37
L Wood,3
LA Carseldine,71
LA Pomersbach,251
LB Williams,2
LE Plunkett,3
LH Ferguson,48
LJ Wright,63
LMP Simmons,878
LPC Silva,27
LR Shukla,358
LRPL Taylor,847
LS Livingstone,609
Lalit Yadav,301
Liton Das,4
M Ashwin,50
M Jansen,71
M Kaif,258
M Kartik,109
M Klinger,78
M Manhas,486
M Markande,44
M Morkel,93
M Muralitharan,30
M Ntini,19
M Prasidh Krishna,24
M Rawat,70
M Shahrukh Khan,413
M Theekshana,7
M Vijay,2208
M Vohra,863
M de Lange,2
MA Agarwal,2081
MA Khote,22
MA Starc,109
MA Wood,10
MC Henriques,801
MC Juneja,134
MD Mishra,213
MD Shanaka,26
MDKJ Perera,13
MEK Hussey,1648
MF Maharoof,124
MG Bracewell,49
MG Johnson,168
MJ Clarke,96
MJ Guptill,197
MJ Lumb,198
MJ McClenaghan,73
MJ Santner,77
MJ Suthar,2
MK Lomror,389
MK Pandey,3288
MK Tiwary,1489
ML Hayden,839
MM Ali,849
MM Patel,41
MM Sharma,137
MN Samuels,174
MN van Wyk,135
MP Stoinis,1366
MR Marsh,532
MS Bisla,737
MS Dhoni,3947
MS Gony,76
MS Wade,185
MV Boucher,318
MW Short,99
Mandeep Singh,1418
Mashrafe Mortaza,2
Mayank Dagar,1
Misbah-ul-Haq,82
Mohammad Ashraful,12
Mohammad Asif,6
Mohammad Hafeez,84
Mohammad Nabi,157
Mohammed Shami,82
Mohammed Siraj,122
Mohit Rathee,2
Mohsin Khan,27
Mujeeb Ur Rahman,15
Mukesh Choudhary,6
Mukesh Kumar,20
Mustafizur Rahman,23
N Jagadeesan,155
N Pooran,1143
N Rana,2015
N Saini,143
N Wadhera,261
ND Doshi,13
NJ Maddinson,21
NJ Rimmington,1
NK Patel,124
NL McCullum,23
NLTC Perera,326
NM Coulter-Nile,75
NS Naik,53
NT Ellis,26
NV Ojha,1360
Naman Dhir,84
Navdeep Saini,38
Naveen-ul-Haq,26
Nithish Kumar Reddy,221
Noor Ahmad,18
OA Shah,405
OC McCoy,5
OF Smith,50
P Awana,14
P Chopra,6
P Dogra,141
P Dubey,33
P Kumar,323
P Negi,301
P Parameswaran,3
P Ray Barman,25
P Sahu,13
P Simran Singh,528
PA Patel,2442
PA Reddy,167
PBB Rajapaksa,201
PC Valthaty,432
PD Collingwood,159
PD Salt,385
PJ Cummins,359
PJ Sangwan,47
PK Garg,247
PM Sarvesh Kumar,2
PN Mankad,75
PP Chawla,580
PP Ojha,45
PP Shaw,1321
PR Shah,97
PSP Handscomb,12
PV Tambe,39
PVD Chameera,32
PWH de Silva,80
Pankaj Singh,12
Parvez Rasool,20
Q de Kock,2410
R Ashwin,698
R Bhatia,290
R Bishnoi,17
R Dhawan,188
R Dravid,1918
R McLaren,178
R Ninan,6
R Parag,909
R Powell,254
R Rampaul,52
R Ravindra,146
R Sai Kishore,6
R Sanjay Yadav,2
R Sathish,236
R Sharma,77
R Shepherd,68
R Shukla,23
R Tewatia,788
R Vinay Kumar,289
RA Bawa,14
RA Jadeja,2378
RA Tripathi,1650
RD Chahar,127
RD Gaikwad,1781
RE Levi,74
RE van der Merwe,144
RG More,2
RG Sharma,5183
RJ Gleeson,2
RJ Harris,112
RJ Peterson,32
RJ Quiney,105
RJW Topley,6
RK Bhui,27
RK Singh,654
RM Patidar,534
RN ten Doeschate,238
RP Meredith,3
RP Singh,78
RR Bhatkal,2
RR Pant,2296
RR Powar,64
RR Raje,18
RR Rossouw,321
RR Sarwan,78
RS Bopara,468
RS Gavaskar,8
RS Sodhi,2
RT Ponting,129
RV Gomez,53
RV Patel,76
RV Uthappa,3927
Rahmanullah Gurbaz,228
Ramandeep Singh,106
Rashid Khan,355
Rasikh Salam,40
Ravi Bishnoi,52
S Anirudha,121
S Aravind,59
S Badree,25
S Badrinath,1245
S Chanderpaul,33
S Dhawan,5483
S Dube,1077
S Gopal,173
S Kaul,36
S Kaushik,1
S Ladda,10
S Lamichhane,1
S Nadeem,88
S Narwal,29
S Rana,82
S Randiv,4
S Sohal,311
S Sreesanth,57
S Sriram,38
S Tyagi,4
S Vidyut,115
SA Abbott,18
SA Asnodkar,352
SA Yadav,2522
SB Bangar,58
SB Dubey,21
SB Jakati,30
SB Joshi,16
SB Styris,134
SB Wagh,3
SC Ganguly,1326
SD Chitnis,92
SD Hope,125
SD Lad,13
SE Bond,2
SE Marsh,1913
SE Rutherford,107
SH Johnson,7
